timestamp,type
1558052441729,UNLOCK
1558052444080,SCREEN_ON
1558052448882,POWER_DISCONNECTED
1558052452696,SCREEN_OFF
1558052453369,UNLOCK
1558052453497,SCREEN_ON
1558052499454,SCREEN_OFF
1558052838302,UNLOCK
1558052838497,SCREEN_ON
1558052874753,SCREEN_OFF
1558053848182,UNLOCK
1558053850466,SCREEN_ON
1558053923014,SCREEN_OFF
1558053923869,UNLOCK
1558053923996,SCREEN_ON
1558053937578,SCREEN_OFF
1558054020170,UNLOCK
1558054020402,SCREEN_ON
1558054384299,UNLOCK
1558054384431,SCREEN_OFF
1558054384813,SCREEN_ON
1558054411981,SCREEN_OFF
1558054413803,SCREEN_ON
1558054425244,SCREEN_OFF
1558054510866,UNLOCK
1558054513429,SCREEN_ON
1558054551867,SCREEN_OFF
1558054572394,UNLOCK
1558054572894,SCREEN_ON
1558054598224,POWER_CONNECTED
1558054629705,SCREEN_OFF
1558054835574,POWER_DISCONNECTED
1558054836098,SCREEN_ON
1558054837476,UNLOCK
1558054840358,SCREEN_OFF
1558054841617,SCREEN_ON
1558054846641,UNLOCK
1558054920414,SCREEN_OFF
1558054946867,SCREEN_ON
1558054948915,SCREEN_OFF
1558055002017,UNLOCK
1558055002202,SCREEN_ON
1558055019197,SCREEN_OFF
1558055122047,SCREEN_ON
1558055126338,SCREEN_OFF
1558055126541,SCREEN_ON
1558055136791,UNLOCK
1558055185306,SCREEN_OFF
1558055210008,UNLOCK
1558055210105,SCREEN_ON
1558055385846,SCREEN_OFF
1558056844906,UNLOCK
1558056847023,SCREEN_ON
1558056867115,SCREEN_OFF
1558058692530,POWER_CONNECTED
1558058693451,SCREEN_ON
1558058703963,SCREEN_OFF
1558058924465,UNLOCK
1558058926341,SCREEN_ON
1558058949238,POWER_DISCONNECTED
1558058952750,POWER_CONNECTED
1558058990197,SCREEN_OFF
1558060089679,UNLOCK
1558060092099,SCREEN_ON
1558060100344,SCREEN_OFF
1558061120652,UNLOCK
1558061122645,SCREEN_ON
1558061177741,SCREEN_OFF
1558061196133,POWER_DISCONNECTED
1558061196813,SCREEN_ON
1558061208393,SCREEN_OFF
1558061221953,UNLOCK
1558061222121,SCREEN_ON
1558061275394,SCREEN_OFF
1558061275827,SCREEN_ON
1558061290771,SCREEN_OFF
1558061291492,SCREEN_ON
1558061340831,SCREEN_OFF
1558061397786,SCREEN_ON
1558061413834,SCREEN_OFF
1558061425710,SCREEN_ON
1558061432375,UNLOCK
1558061432582,SCREEN_OFF
1558061432830,SCREEN_ON
1558061446831,SCREEN_OFF
1558061451702,UNLOCK
1558061451810,SCREEN_ON
1558061469862,SCREEN_OFF
1558062084990,UNLOCK
1558062086623,SCREEN_ON
1558062105786,SCREEN_OFF
1558062286721,UNLOCK
1558062286856,SCREEN_ON
1558062333641,SCREEN_OFF
1558062435543,UNLOCK
1558062435766,SCREEN_ON
1558062447344,SCREEN_OFF
1558062546729,UNLOCK
1558062546867,SCREEN_ON
1558062593716,SCREEN_OFF
1558062803726,UNLOCK
1558062805726,SCREEN_ON
1558062876261,SCREEN_OFF
1558064261435,UNLOCK
1558064261663,SCREEN_ON
1558064300133,SCREEN_OFF
1558064828618,UNLOCK
1558064828844,SCREEN_ON
1558064839172,SCREEN_OFF
1558065187081,UNLOCK
1558065187279,SCREEN_ON
1558065232047,SCREEN_OFF
1558065431100,SCREEN_ON
1558065434068,UNLOCK
1558065477438,SCREEN_OFF
1558065529925,UNLOCK
1558065530066,SCREEN_ON
1558065844374,SCREEN_OFF
1558065940467,UNLOCK
1558065940635,SCREEN_ON
1558065971075,SCREEN_OFF
1558067958655,SCREEN_ON
1558067961547,UNLOCK
1558068058515,SCREEN_OFF
1558068159314,UNLOCK
1558068159427,SCREEN_ON
1558068196730,SCREEN_OFF
1558069051032,UNLOCK
1558069051183,SCREEN_ON
1558069071458,SCREEN_OFF
1558070567375,UNLOCK
1558070569137,SCREEN_ON
1558070592148,SCREEN_OFF
1558070625942,UNLOCK
1558070626056,SCREEN_ON
1558070691730,SCREEN_OFF
1558070712070,SCREEN_ON
1558070715448,SCREEN_OFF
1558071586605,UNLOCK
1558071586904,SCREEN_ON
1558071625909,SCREEN_OFF
1558071846129,UNLOCK
1558071847675,SCREEN_ON
1558071848403,RINGER_MODE_SILENT
1558071856998,SCREEN_OFF
1558073394406,SCREEN_ON
1558073405387,SCREEN_OFF
1558074972881,SCREEN_ON
1558074983658,SCREEN_OFF
1558075479091,UNLOCK
1558075481160,SCREEN_ON
1558075523858,SCREEN_OFF
1558075523979,SCREEN_ON
1558075541426,SCREEN_OFF
1558076034903,UNLOCK
1558076035051,SCREEN_ON
1558076096408,SCREEN_OFF
1558076098883,SCREEN_ON
1558076109717,SCREEN_OFF
1558076979874,UNLOCK
1558076982094,SCREEN_ON
1558076982971,SCREEN_OFF
1558077063025,UNLOCK
1558077063252,SCREEN_ON
1558077071552,SCREEN_OFF
1558077101907,UNLOCK
1558077101984,SCREEN_ON
1558077121106,SCREEN_OFF
1558077201075,UNLOCK
1558077201241,SCREEN_ON
1558077209500,SCREEN_OFF
1558077345550,UNLOCK
1558077345639,SCREEN_ON
1558077370848,SCREEN_OFF
1558077569348,UNLOCK
1558077569536,SCREEN_ON
1558077595467,RINGER_MODE_VIBRATE
1558077606492,SCREEN_OFF
1558077992357,UNLOCK
1558077994021,SCREEN_ON
1558077996263,SCREEN_OFF
1558078943538,UNLOCK
1558078943768,SCREEN_ON
1558079007165,SCREEN_OFF
1558079130210,UNLOCK
1558079130381,SCREEN_ON
1558079181214,SCREEN_OFF
1558079199410,UNLOCK
1558079201241,SCREEN_ON
1558079259057,SCREEN_OFF
1558079266478,UNLOCK
1558079266605,SCREEN_ON
1558079395329,SCREEN_OFF
