timestamp,confidence,type
1556928284690,1.0,TILTING
1556932085726,0.4,UNKNOWN
1556932085726,0.1,IN_VEHICLE
1556932085726,0.1,ON_BICYCLE
1556932085726,0.1,ON_FOOT
1556932085726,0.1,STILL
1556932085726,0.1,WALKING
1556932085726,0.1,RUNNING
1556932105706,1.0,TILTING
1556932125685,0.48,STILL
1556932125685,0.2,ON_FOOT
1556932125685,0.2,WALKING
1556932125685,0.11,UNKNOWN
1556932125685,0.09,ON_BICYCLE
1556932125685,0.05,IN_VEHICLE
1556932125685,0.03,RUNNING
1556932168619,1.0,TILTING
1556932211553,0.39,STILL
1556932211553,0.31,IN_VEHICLE
1556932211553,0.12,ON_FOOT
1556932211553,0.12,WALKING
1556932211553,0.05,ON_BICYCLE
1556932211553,0.03,UNKNOWN
1556932243660,1.0,TILTING
1556932275766,0.64,STILL
1556932275766,0.17,IN_VEHICLE
1556932275766,0.02,ON_FOOT
1556932275766,0.02,WALKING
1556932275766,0.01,ON_BICYCLE
1556932275766,0.01,UNKNOWN
1556932595717,1.0,STILL
1556932929870,1.0,STILL
1556933199126,0.47,ON_FOOT
1556933199126,0.47,WALKING
1556933199126,0.21,UNKNOWN
1556933199126,0.09,STILL
1556933199126,0.06,IN_VEHICLE
1556933199126,0.06,ON_BICYCLE
1556933199126,0.05,RUNNING
1556933218755,1.0,TILTING
1556933238383,0.4,UNKNOWN
1556933238383,0.1,IN_VEHICLE
1556933238383,0.1,ON_BICYCLE
1556933238383,0.1,ON_FOOT
1556933238383,0.1,STILL
1556933238383,0.1,WALKING
1556933238383,0.1,RUNNING
1556933279092,0.78,STILL
1556933279092,0.1,UNKNOWN
1556933279092,0.03,IN_VEHICLE
1556933279092,0.03,ON_BICYCLE
1556933279092,0.03,ON_FOOT
1556933279092,0.03,WALKING
1556933279092,0.03,RUNNING
1556933474348,0.55,STILL
1556933474348,0.2,UNKNOWN
1556933474348,0.05,IN_VEHICLE
1556933474348,0.05,ON_BICYCLE
1556933474348,0.05,ON_FOOT
1556933474348,0.05,WALKING
1556933474348,0.05,RUNNING
1556933496809,0.55,STILL
1556933496809,0.2,UNKNOWN
1556933496809,0.05,IN_VEHICLE
1556933496809,0.05,ON_BICYCLE
1556933496809,0.05,ON_FOOT
1556933496809,0.05,WALKING
1556933496809,0.05,RUNNING
1556933602955,0.27,UNKNOWN
1556933602955,0.19,STILL
1556933602955,0.16,IN_VEHICLE
1556933602955,0.13,ON_FOOT
1556933602955,0.13,WALKING
1556933602955,0.07,ON_BICYCLE
1556933602955,0.07,RUNNING
1556933642549,0.78,STILL
1556933642549,0.1,UNKNOWN
1556933642549,0.03,IN_VEHICLE
1556933642549,0.03,ON_BICYCLE
1556933642549,0.03,ON_FOOT
1556933642549,0.03,WALKING
1556933642549,0.03,RUNNING
1556933687671,0.8,STILL
1556933687671,0.09,ON_FOOT
1556933687671,0.09,WALKING
1556933687671,0.05,IN_VEHICLE
1556933687671,0.02,ON_BICYCLE
1556933687671,0.02,UNKNOWN
1556933986525,1.0,STILL
1556934155100,1.0,TILTING
1556934323675,0.63,STILL
1556934323675,0.2,ON_FOOT
1556934323675,0.2,WALKING
1556934323675,0.08,UNKNOWN
1556934323675,0.02,IN_VEHICLE
1556934323675,0.02,ON_BICYCLE
1556934323675,0.02,RUNNING
1556935261756,1.0,TILTING
1556936199837,0.82,STILL
1556936199837,0.07,IN_VEHICLE
1556936199837,0.05,ON_FOOT
1556936199837,0.05,WALKING
1556936199837,0.02,UNKNOWN
1556936199837,0.01,ON_BICYCLE
1556936294810,0.37,STILL
1556936294810,0.28,ON_FOOT
1556936294810,0.28,WALKING
1556936294810,0.16,IN_VEHICLE
1556936294810,0.03,ON_BICYCLE
1556936294810,0.02,UNKNOWN
1556936308998,0.89,ON_FOOT
1556936308998,0.89,WALKING
1556936308998,0.05,STILL
1556936308998,0.03,UNKNOWN
1556936308998,0.02,IN_VEHICLE
1556936308998,0.0,ON_BICYCLE
1556936308998,0.0,RUNNING
1556936332739,0.31,UNKNOWN
1556936332739,0.18,STILL
1556936332739,0.14,ON_FOOT
1556936332739,0.14,WALKING
1556936332739,0.11,IN_VEHICLE
1556936332739,0.08,ON_BICYCLE
1556936332739,0.08,RUNNING
1556936353231,0.4,UNKNOWN
1556936353231,0.1,IN_VEHICLE
1556936353231,0.1,ON_BICYCLE
1556936353231,0.1,ON_FOOT
1556936353231,0.1,STILL
1556936353231,0.1,WALKING
1556936353231,0.1,RUNNING
1556936368427,0.81,STILL
1556936368427,0.13,IN_VEHICLE
1556936368427,0.02,ON_FOOT
1556936368427,0.02,WALKING
1556936368427,0.01,ON_BICYCLE
1556936368427,0.01,UNKNOWN
1556936389693,1.0,TILTING
1556936410958,0.4,UNKNOWN
1556936410958,0.1,IN_VEHICLE
1556936410958,0.1,ON_BICYCLE
1556936410958,0.1,ON_FOOT
1556936410958,0.1,STILL
1556936410958,0.1,WALKING
1556936410958,0.1,RUNNING
1556936441414,0.31,UNKNOWN
1556936441414,0.16,STILL
1556936441414,0.14,IN_VEHICLE
1556936441414,0.12,ON_FOOT
1556936441414,0.12,WALKING
1556936441414,0.09,ON_BICYCLE
1556936441414,0.08,RUNNING
1556936473229,1.0,TILTING
1556936505043,0.31,ON_FOOT
1556936505043,0.31,UNKNOWN
1556936505043,0.31,WALKING
1556936505043,0.08,IN_VEHICLE
1556936505043,0.08,ON_BICYCLE
1556936505043,0.08,STILL
1556936505043,0.08,RUNNING
1556936519507,1.0,TILTING
1556936533970,0.4,UNKNOWN
1556936533970,0.1,IN_VEHICLE
1556936533970,0.1,ON_BICYCLE
1556936533970,0.1,ON_FOOT
1556936533970,0.1,STILL
1556936533970,0.1,WALKING
