timestamp,confidence,type
1557280246240,1.0,TILTING
1557282354957,0.68,STILL
1557282354957,0.26,ON_FOOT
1557282354957,0.26,WALKING
1557282354957,0.02,IN_VEHICLE
1557282354957,0.02,ON_BICYCLE
1557282354957,0.01,UNKNOWN
1557282354957,0.0,RUNNING
1557283786071,0.4,UNKNOWN
1557283786071,0.1,IN_VEHICLE
1557283786071,0.1,ON_BICYCLE
1557283786071,0.1,ON_FOOT
1557283786071,0.1,STILL
1557283786071,0.1,WALKING
1557283786071,0.1,RUNNING
1557283837248,0.48,STILL
1557283837248,0.17,UNKNOWN
1557283837248,0.1,ON_FOOT
1557283837248,0.1,WALKING
1557283837248,0.08,IN_VEHICLE
1557283837248,0.08,ON_BICYCLE
1557283837248,0.04,RUNNING
1557283852376,0.4,UNKNOWN
1557283852376,0.1,IN_VEHICLE
1557283852376,0.1,ON_BICYCLE
1557283852376,0.1,ON_FOOT
1557283852376,0.1,STILL
1557283852376,0.1,WALKING
1557283852376,0.1,RUNNING
1557283867486,0.4,UNKNOWN
1557283867486,0.1,IN_VEHICLE
1557283867486,0.1,ON_BICYCLE
1557283867486,0.1,ON_FOOT
1557283867486,0.1,STILL
1557283867486,0.1,WALKING
1557283867486,0.1,RUNNING
1557283882561,0.31,UNKNOWN
1557283882561,0.19,STILL
1557283882561,0.14,IN_VEHICLE
1557283882561,0.1,ON_FOOT
1557283882561,0.1,WALKING
1557283882561,0.08,ON_BICYCLE
1557283882561,0.08,RUNNING
1557283905266,0.25,UNKNOWN
1557283905266,0.19,STILL
1557283905266,0.17,IN_VEHICLE
1557283905266,0.15,ON_FOOT
1557283905266,0.15,WALKING
1557283905266,0.08,ON_BICYCLE
1557283905266,0.06,RUNNING
1557283920407,0.31,UNKNOWN
1557283920407,0.14,IN_VEHICLE
1557283920407,0.14,STILL
1557283920407,0.13,ON_FOOT
1557283920407,0.13,WALKING
1557283920407,0.11,ON_BICYCLE
1557283920407,0.08,RUNNING
1557283930543,1.0,TILTING
