timestamp,type
1557969795661,UNLOCK
1557969800454,SCREEN_ON
1557969819154,SCREEN_OFF
1557972001739,UNLOCK
1557972002659,SCREEN_ON
1557972009581,SCREEN_OFF
1557973711101,UNLOCK
1557973711662,SCREEN_ON
1557973720577,SCREEN_OFF
1557974873349,UNLOCK
1557974873862,SCREEN_ON
1557974876558,SCREEN_OFF
1557975526421,UNLOCK
1557975527031,SCREEN_ON
1557975530586,SCREEN_OFF
1557976142943,UNLOCK
1557976143374,SCREEN_ON
1557976146035,SCREEN_OFF
1557976533893,UNLOCK
1557976534317,SCREEN_ON
1557976540198,SCREEN_OFF
1557976564583,UNLOCK
1557976564911,SCREEN_ON
1557977063705,SCREEN_OFF
1557977682382,UNLOCK
1557977682959,SCREEN_ON
1557978030726,SCREEN_OFF
1557978059220,UNLOCK
1557978059671,SCREEN_ON
1557978586371,POWER_CONNECTED
1557978686498,SCREEN_OFF
1557978857183,UNLOCK
1557978857580,SCREEN_ON
1557978863828,SCREEN_OFF
1557978964501,UNLOCK
1557978964781,SCREEN_ON
1557979088828,SCREEN_OFF
1557979142784,UNLOCK
1557979143148,SCREEN_ON
1557979179747,POWER_DISCONNECTED
1557979181055,SCREEN_OFF
1557979215395,UNLOCK
1557979223829,SCREEN_ON
1557979323168,SCREEN_OFF
1557980153853,UNLOCK
1557980160193,SCREEN_ON
1557981124163,SCREEN_OFF
1557981536149,UNLOCK
1557981536791,SCREEN_ON
1557981708313,SCREEN_OFF
1557981752722,UNLOCK
1557981757334,SCREEN_ON
1557981760116,SCREEN_OFF
1557982210352,UNLOCK
1557982210830,SCREEN_ON
1557982268556,SCREEN_OFF
1557982288154,UNLOCK
1557982288845,SCREEN_ON
1557982489190,SCREEN_OFF
1557982726916,UNLOCK
1557982727464,SCREEN_ON
1557982975133,SCREEN_OFF
1557983193952,UNLOCK
1557983194574,SCREEN_ON
1557983213881,SCREEN_OFF
1557983790447,UNLOCK
1557983795945,SCREEN_ON
1557984068330,SCREEN_OFF
1557988768714,UNLOCK
1557988775991,SCREEN_ON
1557988786651,SCREEN_OFF
1557989130119,UNLOCK
1557989130729,SCREEN_ON
1557989745869,SCREEN_OFF
1557989834822,UNLOCK
1557989835358,SCREEN_ON
1557989861243,SCREEN_OFF
1557989927987,UNLOCK
1557989928455,SCREEN_ON
1557990246312,SCREEN_OFF
1557990744847,UNLOCK
1557990745472,SCREEN_ON
1557990808539,SCREEN_OFF
1557994730772,UNLOCK
1557994736116,SCREEN_ON
1557994747884,UNLOCK
1557994748156,SCREEN_OFF
1557994748390,SCREEN_ON
1557994759830,SCREEN_OFF
1557994875160,UNLOCK
1557994875659,SCREEN_ON
1557994961133,SCREEN_OFF
1557994961956,UNLOCK
1557994962367,SCREEN_ON
1557994967548,SCREEN_OFF
1557995102839,UNLOCK
1557995103338,SCREEN_ON
1557995260216,SCREEN_OFF
1557995307840,UNLOCK
1557995308216,SCREEN_ON
1557995355378,SCREEN_OFF
1557995379422,UNLOCK
1557995380014,SCREEN_ON
1557995612117,SCREEN_OFF
1557995645781,UNLOCK
1557995646475,SCREEN_ON
1557996403515,SCREEN_OFF
1557996871886,UNLOCK
1557996872535,SCREEN_ON
1557996912442,SCREEN_OFF
1557997333517,UNLOCK
1557997338667,SCREEN_ON
1557997338977,SCREEN_OFF
1557997342518,UNLOCK
1557997342847,SCREEN_ON
1557997600347,SCREEN_OFF
1557997885011,UNLOCK
1557997885540,SCREEN_ON
1557997920884,SCREEN_OFF
1557998186497,UNLOCK
1557998191645,SCREEN_ON
1557998294776,SCREEN_OFF
1557998745966,UNLOCK
1557998746861,SCREEN_ON
1557998760307,SCREEN_OFF
1557998775122,UNLOCK
1557998775779,SCREEN_ON
